Object Name,RA,DEC,Redshift z,Heliocentric Velocity,Magnitude,Associations
WISEA J125831.05+275343.3,194.62951,27.8955,0.022991,6893,19.37,0
WISEA J130051.30+274120.7,195.21382,27.68917,0.026838,8046,19.37,0
WISEA J125611.84+285501.2,194.04921,28.91679,0.023411,7018,19.39,0
WISEA J125621.64+273844.9,194.09021,27.64583,0.021248,6370,19.39,0
WISEA J125918.62+281655.8,194.8275,28.28212,0.0234,7015,19.39,0
WISEA J125509.87+273940.1,193.79118,27.66123,0.026735,8015,19.4,0
WISEA J130102.37+274631.7,195.25998,27.77532,0.017258,5174,19.4,0
WISEA J130159.09+290318.6,195.49621,29.05518,0.024232,7265,19.4,0
WISEA J130328.94+271746.8,195.87063,27.29631,0.023366,7005,19.41,0
WISEA J130104.30+282820.1,195.26797,28.47229,0.023024,6902,19.42,1
WISEA J130524.71+274600.2,196.35294,27.76669,0.022571,6767,19.42,0
WISEA J125727.68+273213.9,194.36536,27.53709,0.026478,7938,19.43,0
WISEA J125810.08+264636.0,194.54204,26.7767,0.022587,6771,19.43,0
WISEA J125959.22+273611.4,194.99694,27.60332,0.022319,6691,19.43,0
WISEA J130105.06+281148.8,195.27097,28.19685,0.021518,6451,19.43,0
SDSS J130507.24+275132.6,196.28015,27.85904,0.024727,7413,19.44,0
WISEA J125752.49+275736.4,194.46868,27.96014,0.02496,7483,19.45,0
WISEA J130002.69+274240.9,195.01116,27.71135,0.020632,6185,19.45,0
WISEA J125802.46+274825.8,194.51032,27.80723,0.018869,5657,19.46,0
WISEA J130100.61+275422.7,195.25254,27.90614,0.019262,5775,19.46,0
WISEA J130258.14+275749.4,195.74231,27.96371,0.020791,6233,19.46,0
GALEXASC J125613.64+274222.1,194.05725,27.70586,0.02723,8163,19.47,0
WISEA J125703.69+290556.4,194.26516,29.0991,0.025664,7694,19.47,0
WISEA J125812.99+265657.8,194.55416,26.94949,0.022455,6732,19.47,0
WISEA J125853.03+275309.1,194.72097,27.88597,0.021848,6550,19.47,0
WISEA J130016.98+282655.9,195.07068,28.44881,0.019081,5720,19.48,0
WISEA J130021.48+274852.9,195.08949,27.81463,0.022679,6799,19.48,0
WISEA J130152.16+274511.6,195.46738,27.75338,0.021843,6548,19.48,0
WISEA J125614.25+290351.4,194.05937,29.06422,0.025165,7544,19.49,1
WISEA J125635.49+271430.2,194.14788,27.24176,0.019754,5922,19.5,0
WISEA J125610.62+283550.0,194.04431,28.59714,0.021135,6336,19.51,0
SDSS J125808.57+285413.8,194.53578,28.90389,0.023897,7164,19.51,0
WISEA J130145.19+274929.1,195.43828,27.82477,0.025236,7566,19.52,0
WISEA J125622.04+280018.2,194.09172,28.00517,0.023924,7172,19.53,0
WISEA J125816.07+290533.8,194.56692,29.09256,0.019551,5861,19.53,0
WISEA J125843.38+285330.2,194.68078,28.89186,0.027298,8184,19.53,0
SDSS J125942.12+275634.6,194.92538,27.94302,0.018743,5619,19.53,1
WISEA J130256.73+271901.5,195.73649,27.31703,0.022853,6851,19.53,0
WISEA J130259.54+270951.2,195.7482,27.16421,0.022353,6701,19.53,0
WISEA J125537.53+271455.9,193.90621,27.24894,0.022061,6614,19.54,0
COMAi J125930.828+280230.68,194.87849,28.04189,0.021486,6441,19.54,4
SDSS J130008.97+275139.6,195.03752,27.86105,0.017177,5150,19.55,0
WISEA J130045.08+274845.3,195.18792,27.8126,0.019438,5827,19.55,0
WISEA J130457.83+283351.8,196.24097,28.56442,0.024085,7221,19.55,0
WISEA J130017.42+274241.3,195.07259,27.7115,0.023729,7114,19.57,0
WISEA J125624.46+273218.4,194.1019,27.53846,0.025416,7620,19.58,0
WISEA J125859.46+275936.6,194.74794,27.99334,0.020628,6184,19.58,0
WISEA J125751.05+282746.0,194.46268,28.46274,0.020386,6112,19.59,0
WISEA J125752.60+280300.3,194.46928,28.05024,0.026685,8000,19.6,0
WISEA J125832.04+281428.1,194.63356,28.24121,0.022461,6734,19.6,0
WISEA J125955.67+275503.9,194.98208,27.91771,0.02201,6598,19.6,0
SDSS J130024.46+283220.9,195.1019,28.53917,0.021934,6576,19.6,0
WISEA J130107.63+275953.1,195.28171,27.99807,0.023218,6961,19.6,0
WISEA J130427.31+275040.8,196.11379,27.84467,0.020753,6222,19.6,0
WISEA J125711.02+273339.0,194.29594,27.56077,0.024165,7244,19.61,0
WISEA J125852.11+281547.1,194.71697,28.26311,0.027941,8377,19.61,0
WISEA J130020.48+274816.7,195.0853,27.80476,0.019977,5989,19.61,0
WISEA J130108.45+275048.2,195.2853,27.84672,0.019534,5856,19.61,0
WISEA J130333.47+283457.8,195.88951,28.58275,0.018896,5665,19.61,0
WISEA J125531.01+274745.7,193.87923,27.79604,0.024901,7465,19.62,0
WISEA J130153.25+274600.1,195.4719,27.76672,0.021152,6341,19.62,0
WISEA J130238.35+282719.6,195.65977,28.4557,0.018529,5555,19.62,0
WISEA J125636.26+273439.9,194.15109,27.57772,0.023556,7062,19.63,0
WISEA J125859.55+292458.6,194.74822,29.41613,0.024319,7291,19.64,0
